,id,SKU,brand_name,name,rating_average,price
0,262977989,9650047486657,,Kế Toán Vỉa Hè - Thực Hành Báo Cáo Tài Chính Căn Bản Từ Quầy Bán Nước Chanh,5.0,169000
1,270880693,5642259214295,,Ai Tăng Lương Cho Bạn? 3 Bí Quyết Đơn Giản Để Thăng Tiến Và Hạnh Phúc Trong Công Việc,5.0,155000
2,404737,7836360261556,,Kinh Chú Thường Tụng,4.7,95000
3,23416722,3827529234225,,How The Body Works - Hiểu Hết Về Cơ Thể,5.0,256500
4,253393981,3797064945957,,Think Clean - Đừng tin vào tất cả những gì bạn nghĩ,4.5,179000
5,187827003,3303950228706,,Không Diệt Không Sinh Đừng Sợ Hãi (TB5),5.0,78000
6,74021317,9653845109288,,Cây Cam Ngọt Của Tôi,5.0,75000
7,260811707,8836768214519,,Muôn Kiếp Nhân Sinh 3 (Bìa Mềm),5.0,144000
8,262434068,3281387034444,,"Muôn Kiếp Nhân Sinh - Many Times, Many Lives - Tập 3",5.0,150420
9,3304875,8730236576896,,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),4.8,79000
10,31692405,1369166127303,Hải Tiến,Vở kẻ ngang Haplus - Time,4.8,89000
11,270234757,1798154555162,,Xứ Sở Miên Man,5.0,175000
12,71345381,4227584840532,,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,4.8,173600
13,53434797,2408284983862,,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,4.7,200000
14,73179948,1841425604461,,Sách Tự động hóa doanh nghiệp Tập 1,4.6,599000
15,42230121,8105872042430,,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,4.8,126000
16,207841114,3589664558938,,Ghi Chép Pháp Y – Những Cái Chết Bí Ẩn,5.0,106000
17,52789367,6624824359331,,Nhà Giả Kim (Tái Bản 2020),5.0,56100
18,26114399,9653795675482,,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",4.8,65000
19,199216988,6863321065071,,Càng Bình Tĩnh Càng Hạnh Phúc,5.0,100000
20,186111097,7648066317881,,Vượt lên trật tự - Tác giả Jordan B. Peterson,4.6,280000
21,55351579,2685298312363,Aron Alpha,"KEO DÁN SIÊU TỐC ARON ALPHA JELLY #31303 - Sản phẩm chất lượng từ Nhật Bản, dán dính tức thì",4.8,79360
22,110758001,3557420497073,Thiên Long,Hộp 10 cây Bút lông kim - Bút mực nước Beebee Thiên Long FL-04 mực tím,4.5,55000
23,31656174,7733665840096,Hải Tiến,Vở kẻ ngang Haplus - Landscape,4.8,100000
24,33172823,6182101595310,Hải Tiến,Vở kẻ ngang Haplus - New Day,4.8,140000
25,207256575,7836369564273,,Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,4.8,85000
26,4780917,6036130164453,,Người Đua Diều (Tái Bản 2018),4.8,97000
27,184466860,2733693525196,,Hành Tinh Của Một Kẻ Nghĩ Nhiều,4.8,62000
28,189643105,3283620562802,,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,4.8,93000
29,157432544,8937200258241,,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),5.0,151000
30,3954355,8234253186484,,Yêu Những Điều Không Hoàn Hảo,4.8,103000
31,75953557,3981544195117,,Tâm Lý Học Về Tiền,4.8,128000
32,56878836,3332076875808,,Sách Muôn Kiếp Nhân Sinh (Bìa Cứng) - Nguyên Phong,5.0,171000
33,73787185,4451805413940,,Những Tù Nhân Của Địa Lý,4.8,156000
34,109017985,7255202170163,,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",4.8,130000
35,52788072,3056634185207,,Chiến Binh Cầu Vồng (Tái Bản 2020),4.8,81100
36,46240929,5867088230836,,Rèn Luyện Tư Duy Phản Biện,4.8,62900
37,15267827,6068697850982,,Hoàng Tử Bé (Tái Bản 2019),5.0,56000
38,106863963,3718408968985,,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,4.8,108000
39,13419678,6193128706009,,Sách Đi Tìm Lẽ Sống (Tái Bản ),4.8,65100
40,248930292,9693688894868,,Đám Trẻ Ở Đại Dương Đen,4.8,73000
41,209891492,1115264531647,,Những Người Hàng Xóm - Bản Thường - Bìa Mềm (Tặng kèm Bookmark + Thẻ treo),5.0,84300
42,247858753,6064413839312,,Vùng Đất Quỷ Tha Ma Bắt,5.0,127000
43,117254517,5222628547911,,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,5.0,176000
44,54266567,1347818729174,,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),4.8,81000
45,121635152,1441979095867,,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),5.0,86000
46,143217512,1793967042645,,Điềm Tĩnh Và Nóng Giận,4.8,70000
47,54748899,6769993970908,,Sách Muôn Kiếp Nhân Sinh (Bìa Mềm) - Nguyên Phong,4.8,103000
48,57325187,9148368820975,,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),5.0,64200
49,105663942,2448443669852,,Hành Trình Về Phương Đông (Tái Bản 2021),5.0,76000
50,249157126,9656774504659,,Đứa Trẻ Hiểu Chuyện Thường Không Có Kẹo Ăn,5.0,110000
51,3014291,6632412218199,Casio,Máy Tính Khoa Học Casio FX-580VN X,4.8,664000
52,117238177,3046122770204,,Thư Viện Nửa Đêm,5.0,115000
53,17336364,8223433558852,,Phía Sau Nghi Can X (Tái Bản 2019),4.8,80100
54,94173462,4089772274675,,Muôn Kiếp Nhân Sinh 2,5.0,186000
55,243097256,8912316909681,,Giận (Tái Bản),5.0,106000
56,3639597,9703076562021,,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),4.8,66000
57,204078065,9933560642767,,Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói,4.8,95400
58,75307228,2281336779503,,Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,5.0,126000
59,66619715,2529755605097,,Sách Vị Tu Sĩ Bán Chiếc Ferrari (Tái Bản),4.8,72100
60,174842858,6741536352899,,Sách Sức Mạnh Của Ngôn Từ (Tái Bản 2022),5.0,70700
61,2245453,6255173116599,,Đúng Việc (Tái Bản),5.0,75000
